_id,_sampledSeconds,_traveltime,_overlapTraveltime,_density,_laneDensity,_occupancy,_waitingTime,_timeLoss,_speed,_departed,_arrived,_entered,_left,_laneChangedFrom,_laneChangedTo,_vaporized
-188153325#3,95.59,1.49,2.15,0.81,0.81,0.29,0.00,11.46,7.34,5,6,42,41,0,0,
-188153325#4,359.35,5.96,6.72,0.80,0.80,0.36,4.00,64.24,6.81,4,5,50,49,0,0,
-188153325#5,59.22,0.41,1.17,1.67,1.67,0.34,0.00,9.21,7.02,5,3,48,50,0,0,
-188153325#6,530.20,5.07,5.80,1.36,1.36,0.60,0.00,80.51,6.97,3,3,89,89,0,0,
-188153325#7,340.74,2.87,3.60,1.68,1.68,0.68,3.00,71.34,6.52,4,6,92,90,0,0,
-188153325#8,897.41,3.96,4.70,3.09,3.09,1.32,10.00,168.47,6.68,5,5,187,187,0,0,
-188153340#0,753.69,4.23,4.99,1.53,1.53,0.68,0.00,128.58,10.00,8,5,144,147,0,0,
-188153340#1,839.07,4.36,4.85,1.48,1.48,0.67,0.00,112.37,11.66,9,3,165,171,0,0,
-188153340#2,168.56,0.40,0.99,4.34,4.34,0.92,0.00,61.07,8.65,8,10,169,167,0,0,
-195917524,418.61,17.59,18.61,0.58,0.29,0.14,224.00,298.25,3.79,7,0,16,23,10,10,
-195998279,66.49,5.01,5.42,0.17,0.17,0.08,0.00,29.87,7.64,6,0,7,13,0,0,
-196190040#1,14067.55,29.60,30.61,7.20,7.20,3.52,5788.00,7983.93,5.96,6,6,454,454,0,0,
-196190040#2,802.94,1.37,1.75,4.07,4.07,1.60,0.00,44.98,13.10,8,7,453,454,0,0,
-196190044#0,20.16,3.05,3.64,0.07,0.07,0.03,0.00,0.19,8.52,0,6,6,0,0,0,
-196190044#1,86.45,3.15,3.82,0.35,0.35,0.14,0.00,10.47,7.25,0,4,23,19,0,0,
-196190044#2,116.29,3.81,4.50,0.38,0.38,0.16,0.00,12.75,7.35,0,3,26,23,0,0,
-196190044#3,264.18,4.61,5.32,0.72,0.72,0.31,0.00,31.05,7.25,0,4,50,46,0,0,
-196190044#5,500.43,8.66,9.29,0.66,0.66,0.31,0.00,19.22,7.96,0,4,54,50,0,0,
-196190044#6,705.02,11.49,12.18,0.73,0.73,0.35,0.00,54.09,7.59,0,4,58,54,0,0,
-196190051#1,20.25,10.26,10.96,0.03,0.03,0.01,0.00,4.82,6.14,2,0,0,2,0,0,
-196190059#0,4.32,4.01,4.32,0.01,0.01,0.00,0.00,0.10,15.73,0,1,1,0,0,0,
-196190059#1,19.93,1.10,1.74,0.15,0.15,0.06,0.00,3.63,10.06,0,5,12,7,0,0,
-196190059#10,1469.10,6.54,6.91,1.54,1.54,0.73,0.00,53.51,13.29,7,2,206,211,0,0,
-196190059#11,666.98,2.80,3.17,1.64,1.64,0.73,0.00,29.19,13.22,5,5,206,206,0,0,
-196190059#12,1129.10,4.99,5.36,1.87,1.87,0.84,0.00,217.60,11.20,2,5,209,206,0,0,
-196190059#2,44.93,1.49,1.97,0.23,0.23,0.09,0.00,4.13,11.46,0,5,23,18,0,0,
-196190059#3,146.85,5.28,5.66,0.19,0.19,0.09,0.00,5.93,13.64,0,3,26,23,0,0,
-196190059#4,439.38,2.85,3.60,1.42,1.42,0.60,0.00,86.64,9.22,6,0,117,123,0,0,
-196190059#5,539.59,1.97,2.63,2.32,2.32,0.93,0.00,110.56,9.94,8,7,199,200,0,0,
-196190059#8,459.13,1.69,2.09,1.98,1.98,0.80,0.00,40.10,12.48,6,7,215,214,0,0,
-196190059#9,293.10,0.97,1.36,2.15,2.15,0.78,0.00,21.92,12.76,7,3,211,215,0,0,
-202359955,35.78,9.01,10.06,0.08,0.08,0.04,3.00,15.68,4.58,4,0,0,4,0,0,
-202360239#0,0.00,,,,,,,,,0,0,0,0,0,0,
-202360239#1,0.00,,,,,,,,,0,0,0,0,0,0,
-202360239#2,0.00,,,,,,,,,0,0,0,0,0,0,
-202360239#3,0.00,,,,,,,,,0,0,0,0,0,0,
-202855533#0,193.22,0.67,2.12,3.42,3.42,0.95,57.00,118.46,4.77,9,8,87,88,0,0,
-202855533#1,73.08,0.16,0.80,3.67,3.67,0.50,0.00,23.68,8.52,7,7,87,87,0,0,
-202855820,8418.08,21.09,21.93,41.23,41.23,20.00,6671.00,7756.98,1.07,6,4,381,383,0,0,
-202855821#0,3515.80,8.59,9.21,7.86,7.86,3.73,1682.00,2244.11,4.96,7,2,376,381,0,0,
-202855821#1,377.66,0.61,0.99,4.30,4.30,1.33,0.00,17.05,13.09,3,7,380,376,0,0,
-202855821#10,3082.82,12.22,12.60,1.75,1.75,0.85,0.00,134.61,13.13,7,4,238,241,0,0,
-202855821#11,1234.37,5.35,5.79,1.78,1.78,0.82,0.00,163.05,11.76,8,4,206,210,0,0,
-202855821#12,415.15,1.47,1.98,3.28,3.28,1.14,0.00,163.27,8.31,4,5,207,206,0,0,
-202855821#2,1742.20,4.14,4.52,2.89,2.89,1.33,0.00,60.69,13.24,3,6,383,380,0,0,
-202855821#3,3597.98,8.95,9.32,2.74,2.74,1.32,0.00,103.99,13.33,2,3,384,383,0,0,
-202855821#4,2729.09,6.68,7.06,2.79,2.79,1.32,0.00,84.04,13.30,4,3,383,384,0,0,
-202855821#5,4638.23,11.68,12.05,2.82,2.82,1.36,0.00,300.72,12.83,4,2,381,383,0,0,
-202855821#6,374.08,1.04,1.45,2.59,2.59,0.95,0.00,26.40,12.51,5,6,255,254,0,0,
-202855821#7,1413.46,5.15,5.53,1.89,1.89,0.88,0.00,54.11,13.23,3,1,253,255,0,0,
-202855821#9,1065.46,3.99,4.37,1.83,1.83,0.84,0.00,37.84,13.22,3,5,241,239,0,0,
-202864466#0,267.81,3.41,4.07,0.86,0.86,0.38,0.00,106.87,8.15,8,0,59,67,0,0,
-202864466#1,154.07,2.26,2.67,0.58,0.58,0.25,0.00,30.01,10.90,8,0,51,59,0,0,
-202864466#11,68.11,7.56,7.93,0.09,0.09,0.04,0.00,21.38,9.48,6,0,3,9,0,0,
-202864466#12,67.06,22.44,22.79,0.02,0.02,0.01,0.00,12.15,11.75,3,0,0,3,0,0,
-202864466#2,200.06,3.59,3.98,0.44,0.44,0.20,0.00,29.49,11.58,7,0,44,51,0,0,
-202864466#3,256.32,5.48,5.86,0.34,0.34,0.16,0.00,21.49,12.38,4,0,40,44,0,0,
-202864466#4,62.38,1.19,1.60,0.43,0.43,0.16,0.00,10.16,11.40,4,0,36,40,0,0,
-202864466#5,314.89,8.43,8.81,0.28,0.28,0.13,0.00,34.20,12.15,5,0,31,36,0,0,
-202864466#6,45.67,1.07,1.58,0.44,0.44,0.16,0.00,15.20,9.11,6,0,25,31,0,0,
-202864466#7,61.16,2.13,2.54,0.26,0.26,0.11,0.00,14.85,10.45,5,0,20,25,0,0,
-202864466#8,171.32,8.33,8.70,0.16,0.16,0.08,0.00,28.28,11.51,6,0,14,20,0,0,
-202864466#9,34.78,2.25,2.69,0.17,0.17,0.07,0.00,12.58,8.84,5,0,9,14,0,0,
-202865975,16.34,4.08,4.66,0.12,0.12,0.05,0.00,8.22,3.66,5,0,0,5,0,0,
-208654765#0,785.03,1.82,2.20,3.01,3.01,1.25,0.00,40.15,13.04,5,9,353,349,0,0,
-208654765#1,3292.53,8.77,9.15,2.58,2.58,1.24,0.00,118.65,13.24,3,7,357,353,0,0,
